Question,Responses,Generated Questions,Relevance Score
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,"The Virgin Mary allegedly appeared to Saint Bernadette Soubirous in 1858 in Lourdes, France.",Who did the Virgin Mary allegedly appear to in 1858 and where did this event take place?,91.09662125
What is in front of the Notre Dame Main Building?,"A copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes"" is in front of the Notre Dame Main Building.","Where is the copper statue of Christ with arms upraised and the inscription ""Venite Ad Me Omnes"" located?",65.2321571
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,The Main Building,What is the structure often considered to be the centerpiece or iconic symbol of a university campus?,69.86442814
What is the Grotto at Notre Dame?,"The Grotto at Notre Dame is a Marian place of prayer and reflection located immediately behind the Basilica of the Sacred Heart. It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858.","Can you describe what the Grotto at Notre Dame is, its purpose, and what it is a replica of?",89.42053945
What sits on top of the Main Building at Notre Dame?,A golden statue of the Virgin Mary sits on top of the Main Building at Notre Dame.,What is located on top of the Main Building at Notre Dame?,97.55380516
When did the Scholastic Magazine of Notre dame begin publishing?,The Scholastic Magazine of Notre Dame began publishing in September 1876.,When did the Scholastic Magazine of Notre Dame begin publishing?,99.64076114
How often is Notre Dame's the Juggler published?,The Juggler is published twice a year.,How often is The Juggler published?,89.52151803
What is the daily student paper at Notre Dame called?,The Observer,"Who is the mysterious character in the television series ""Fringe"" who appears during vital events in history?",58.11796423
How many student news papers are found at Notre Dame?,Three,How many sides does a triangle have?,58.18973657
In what year did the student paper Common Sense begin publication at Notre Dame?,Common Sense began publication at Notre Dame in 1987.,When and where did the publication of Common Sense begin?,81.79074933
Where is the headquarters of the Congregation of the Holy Cross?,The headquarters of the Congregation of the Holy Cross are in Rome.,Where are the headquarters of the Congregation of the Holy Cross located?,99.52927214
What is the primary seminary of the Congregation of the Holy Cross?,The primary seminary of the Congregation of the Holy Cross is Moreau Seminary.,What is the primary seminary of the Congregation of the Holy Cross?,100
What is the oldest structure at Notre Dame?,The oldest structure at Notre Dame is Old College.,What is the oldest structure at Notre Dame?,100
What individuals live at Fatima House at Notre Dame?,Retired priests and brothers reside in Fatima House at Notre Dame.,Where do retired priests and brothers reside within the Notre Dame campus?,81.21253368
Which prize did Frederick Buechner create?,Frederick Buechner did not create a prize. The Moreau Seminary created a Buechner Prize for Preaching in his honor.,Who created the Buechner Prize for Preaching and was it Frederick Buechner himself who initiated it?,88.35388855
How many BS level degrees are offered in the College of Engineering at Notre Dame?,Eight B.S. degrees are offered in the College of Engineering at Notre Dame.,How many Bachelor of Science degrees are offered in the College of Engineering at Notre Dame?,95.20600181
In what year was the College of Engineering at Notre Dame formed?,The College of Engineering at Notre Dame was formed in 1920.,When was the College of Engineering at Notre Dame formed?,98.93852151
Before the creation of the College of Engineering similar studies were carried out at which Notre Dame college?,The College of Science,What academic division of Notre Dame University is the Department of Physics under?,74.0025605
How many departments are within the Stinson-Remick Hall of Engineering?,The text does not provide specific information on how many departments are within the Stinson-Remick Hall of Engineering.,How many departments are there within the Stinson-Remick Hall of Engineering?,99.7165383
The College of Science began to offer civil engineering courses beginning at what time at Notre Dame?,The College of Science at Notre Dame began to offer civil engineering courses in the 1870s.,When did The College of Science at Notre Dame start offering civil engineering courses?,95.15279467
What entity provides help with the management of time for new students at Notre Dame?,The Learning Resource Center in the First Year of Studies program.,Where can first year students go to find academic support and resources at the university?,77.87663879
How many colleges for undergraduates are at Notre Dame?,Notre Dame has five undergraduate colleges.,How many undergraduate colleges does Notre Dame have?,96.8077175
What was created at Notre Dame in 1962 to assist first year students?,The First Year of Studies program was created at Notre Dame in 1962 to assist first year students.,When was the First Year of Studies program created at Notre Dame and what was its purpose?,85.26654852
"Which organization declared the First Year of Studies program at Notre Dame ""outstanding?""",U.S. News & World Report,Which organization releases annual rankings of universities and colleges in the United States?,69.40782313
The granting of Doctorate degrees first occurred in what year at Notre Dame?,1924,In which year did the first Winter Olympics take place?,58.58413157
What type of degree is an M.Div.?,An M.Div. is a professional Master of Divinity degree.,What is an M.Div. in terms of academic degrees?,93.54640215
Which program at Notre Dame offers a Master of Education degree?,The Alliance for Catholic Education program at Notre Dame offers a Master of Education degree.,What degree does the Alliance for Catholic Education program at Notre Dame offer?,86.17596915
In what year was a Master of Arts course first offered at Notre Dame?,A Master of Arts course was first offered at Notre Dame in the 1854–1855 academic year.,When was the Master of Arts course first offered at Notre Dame?,98.22574127
Which department at Notre Dame is the only one to not offer a PhD program?,The Department of Pre-Professional Studies in the College of Science.,What department handles the Pre-Professional Studies within the College of Science?,70.88901309
What institute at Notre Dame studies  the reasons for violent conflict?,The Joan B. Kroc Institute for International Peace Studies at the University of Notre Dame studies the reasons for violent conflict.,What institution at the University of Notre Dame is dedicated to researching the causes of violent conflict?,96.32248327
What is the title of Notre Dame's Theodore Hesburgh?,President Emeritus of the University of Notre Dame,Who held the position of President Emeritus of the University of Notre Dame?,80.7148945
In what year was the Joan B. Kroc Institute for International Peace Studies founded?,The Joan B. Kroc Institute for International Peace Studies was founded in 1986.,When was The Joan B. Kroc Institute for International Peace Studies founded?,99.08967287
To whom was John B. Kroc married?,"John B. Kroc was married to Ray Kroc, the owner of McDonald's.","Who was Ray Kroc, the owner of McDonald's, married to?",88.64517765
What company did Ray Kroc own?,Ray Kroc owned McDonald's.,Who was the owner of McDonald's in the mid-20th century?,79.88431887
How many stories tall is the main library at Notre Dame?,The main library at Notre Dame is 14 stories tall.,How many stories tall is the main library at Notre Dame?,100
What is the name of the main library at Notre Dame?,The main library at Notre Dame is named the Theodore M. Hesburgh Library.,What is the name of the main library at Notre Dame University?,98.95184147
In what year was the Theodore M. Hesburgh Library at Notre Dame finished?,The Theodore M. Hesburgh Library at Notre Dame was finished in 1963.,When was The Theodore M. Hesburgh Library at Notre Dame completed?,98.29191485
Which artist created the mural on the Theodore M. Hesburgh Library?,Millard Sheets,Who is the famous American artist known for his watercolor and architectural designs during the 20th century?,71.09412507
What is a common name to reference the mural created by Millard Sheets at Notre Dame?,"The mural created by Millard Sheets at Notre Dame is commonly referred to as ""Touchdown Jesus"".",What is the common nickname for the mural created by Millard Sheets at Notre Dame?,97.83052626
How many incoming students did Notre Dame admit in fall 2015?,"Notre Dame admitted 3,577 incoming students in fall 2015.",How many incoming students were admitted to Notre Dame in fall 2015?,99.3395119
What percentage of students were admitted to Notre Dame in fall 2015?,19.7%,What is the percentage equivalent of the fraction 197/1000?,61.02201494
Where does Notre Dame rank in terms of academic profile among research universities in the US?,Notre Dame's academic profile ranks among the top 10 to 15 in the nation for national research universities.,Where does Notre Dame's academic profile rank nationally among national research universities?,96.89376125
What percentage of students at Notre Dame participated in the Early Action program?,39.1% of students at Notre Dame participated in the Early Action program.,What percentage of students at Notre Dame participated in the Early Action program?,100
How many miles does the average student at Notre Dame travel to study there?,The average student traveled more than 750 miles to Notre Dame.,How far did the average student travel to attend Notre Dame?,94.4160524
Where did U.S. News & World Report rank Notre Dame in its 2015-2016 university rankings?,"U.S. News & World Report ranked Notre Dame 18th overall among ""national universities"" in the United States in its 2015-2016 rankings.","Where did U.S. News & World Report rank Notre Dame overall among ""national universities"" in the United States in its 2015-2016 rankings?",97.32556315
Forbes.com placed Notre Dame at what position compared to other US research universities?,Forbes.com ranked Notre Dame 8th among Research Universities.,What ranking did Forbes.com give Notre Dame among Research Universities?,95.23576871
