Responses,contexts,faithfulness Score
???? ?? ????,"???? ????????? ?? ????? ?????? ??????:
 ???? ??? ??????? ??? ????? ?? ?? ???????? (???????? ???????) ????????? ??????? ??????? ?? ??? ??????? ???????? ??????? ???????? ???? ?????? ??????. ????? ?????? (???????????: Alchemy)? ????? ?????? ?? ?????? ??????? «????????».
 ??? ???? ???????????? ?????????? ????? ????? ??????? ????????? ?? ???????????? ??????? ???????? ?????????. ?? ?????? ??? ?? ????? ?? ???????? ????????? ????? ?? ??????? ?? ???????? ???????? ??? ?????? ????????? ??????? ?????.[1]
?????? ?? ?????? ????? ???????? ????????? ?? ?????? ?????? ?? ??? ?????? ????????? ???? ???? ?? ??? ???? ?????? ??? ??????????? ?????????? ???????????? ???????? ????? ????? ????? ????????. ????? ??????????? ???????????? ???????? ?? ??? ?? ?????? ?????? ?????? ???????? (??? ????? ?? ???????? ???????)? ?? ??? ??? ??????????? ???????? ?????? ?? ????? ???????? ???? ????????? ???????? (???? ???????? ?????? ?? ???????) ??? ?? ????? ??????? ???????? ?? ?????? ?????? ?? ??????? ??? ????? ?? ?? ??? ???????? ?????????? ????? ?? ??? ??????????? ???????? ???????? ?? ????? ?????? ??? ????.
 ??? ??? ???????? ????? ??????????? ???????? ??????????? ????? ?? ?????? ???? ???????? ??????? ?????? ????? ????? ?? ????? ?????? ?? ????? ????? ????? ????????? ??? ??????. ???? ????? ?????? ???????? ???? ????? ???? ?? ???? (????? ??? 815 ?) ????? ???? ???? ??????????? ????? ????? ???? ??? ??????? ???? ?????? ?????? ???? ????????? ????????? (????? ????? ?????? ?????)? ??? ??? ???? ?? ???? ?????? ??????? ??? ??? ???",100
?? ?????????? ?????????,"? ?? ????? ?????? ?? ??????? ??????? ???????? ????? ???? ?? ???????? ??????? ??? ???????? ??????? ??? ????? ?? ????? «???????» ???? ??? ??? ?? ?????? ???????? ????? ????? ?????? ?? ????? ?????? ??? ???? ???????? ?????????? ??? ??? ?? ??? ???????? ?????? ???????? ????? ?? ???? ???????? (????? ??? 1008 ?)? ?? ???? ????? ??????? ?????? (????? ??? 1342 ?)? ???? ?? ??? ????? ?????? ??????? ?????????? ??? ??? ???? ?? ????? ??????.[2]
 ??? ?????? ?? ????? «???????» ?? ??? ??????? ?? ????? ?? ???? ?????? ????? ????? ?????? ???? ?? ???????? ????????? ???????? ???????? ???? ???????? ???? ?????? ??????: ??????? ???????? ???????? ???????? ???????? ???????? ???????? ????????. ??? ???? ????? ????????? ???????? ?????? ?? ????? ?? ????? ?????????? ????? ?? ????? ?????? ???????? ????? ????? ?????? ??????? ?????? ???????? ????? ??????? (??? ?? ???? ??????? ????????) ?????? ??????? ?????????.[2]
 ???? ??????????? ???????? ??? ???? ?? ???? ??????? ?? ?????????? ?????????? ???????? ??? ?? ???:
 ??? ???????? ???????? ????? ??????? ????? ????????? ?????? ??????? ?? ??? ????? ?? ???? ?? ???? ???? ??? ????? ????? (?????? ??????? ?????? ?????) ?? ??? ?????? ???????? ???????: ???????? ????????? ???????? ????????.[3]
?????? ???? ????? ??? ?????? ?? ??? ?????? ?????? ?? ?? ???????? ??? ???? ?????? ?????? ???? ???? ???? ?? ??? ?? ????? ???? ????. ????? ??? ???? ????? ???? ???? ?? ?????? ????? ????? ???? ?? ???? ????? ????? ???? ???? ????.[4]
????? ??? ??????? ??? ????? ?? ??? ???????? ?? ???????? ???????.",100
???? ???????,"[5][6] ??? ???? ???? ??? ??????? ???????? ??? ??? ?????? ???? ?????? ?? ??????? ????? ????? ?? ????? ???????? ???? ??????? ?????? ?????????? ??????.
 ??? ???? ?? ???? ????? ???? ??????? ???????? ?? ?????? ?????? ??????. ????? ????? ?????? ?? ???? ????? ???? ??????? ????????? ?????? (??????? ???????? ??????? ??????? ??????) ???????? ??? ????? ?? ??????? ?????????? ???? ???? ??????? ????: ??????? (????? ???? ????? ?? ???? ??? ???? ????????) ??????? (???? ????? ?????? ??????? ?????? ????????). ???? ??? ?????? ??? ??? ???? ???? ????? ?????? ????? ?? ???????? ???????? ?????? ??????? ???????? ??????: ??????? ???? ???????? ???????? ?? ????????? ?????? ???? ?????? ??????????? ??????[?] ???? ???????.[7]
 ???? ??????? ??????? ????????? ?? ???????? ???? ??? ??????????? ???????? ?? ??? ????. ??? ????? ??????? ??? ???? ?? ???? ???? ????? ??????? ??????? ???? ???? ?????? ?? ????? ???????? ??? ?????????[8][9][10][11] ?? ??? ?? ???:
 ????? ??? ???? ??????? ????? ?? ??????? ????? ??????: «????? ??????? ????? ?? ???????? ??? ????? ???? ?? ???? ?????? ?????? ????? ??????? ???????? ??? ???? ?? ???? ??????? ?? ???? ?? ???? ??? ???? ?? ???????».[13] ????? ???? ???????? ???? ??? ???????? ???? ???? ?? ???? ?? ????? ???????? ??? ?????? ????????? ???? ?? ????? ??? ???? ?????? ???????? ????? ????? ?????? ???? ??????? ?????????.[14] ??? ?????? ??? ????? ???? ??? ???? ????? ??? ???? ??????? ?????? ??????? ??????????? ????? ???? ?? ???? ?????? ???????? ?? ???? ?????? ?????? ????????? ???????? ?? ???????? ",100
??????,"?? ????? ??????????? ??????? ??????? ??????? ????????? ????:[14]
 ?? ????? ??????????? ?????????? ???? ????? ??????. ?? ?? ??? ?????? ????????? ???? ?? ????? ?????? ???? ??? ??? ????? ??????? ???????? ???????: ??? ???????? ??????? ???????? ????? ????? ???? ???? ????? ?????. 
 ??? ???? ??? ????? ???? ?????? ??? ???? ????? ????? ??????? ????????? ?????? ?? ?? ???? ?? ??????? ????? ?? ????? ???????? ?????? ????:[15]
 ???? ???? ?????? ????? ????????? ???? ????? ??? ????? ??????:[15]
 ??? ??? ?????? ????? ????? ??? ????? ??????? ??????. ???? ?? ?????? ?????? ??????? ???? ?????? ??????? ?????? ???????? ????? ???? ????? ????? ??. ???? ????? ?? ?????? ??????? ???? ???????.[15]
 ??? ?????? ???? ??? ????????? ??????? ????????? ???? ??? ?? ??? ????? ???????? ????????? ?????? ????? ??????? ??? ???? ??????? ??????? ??? ????? ?? ?????.[16] ????? ?? ?? ??? ??????? ?????????[17] ???? ?????[18] ???? ?????? ????? ?????? ???????? ?????? ????? ????? ???????.
 ????? ????? ??????? ???? ??? ??? ?????? ???? ??? ??????. ??? ?????? «???? ??? ???????»? ??? ?????? ??? ?? ???? ??? ????? ????? ??????? ????????? ?????? ??????? ??????? ??? ?? ???? ???????? ????? ???????. ????? ????? ??? ?? ????? ??? ??? ???????? ?? ???? ????? ???? ?????? ????? ?????? ??? ??? ??? ??? ???? ??? ????? ?? ????? ????? ?????? ???? ???? ???? ????? ??? ?????? ?????. ???? ?????? ???? ???? ?? ?????? ????? ???? ????? ??? ???? ???? ????? ?? ???? ?????? ????????? ??? ?? ??? ?????? ?? ???? ?? ???? ?? ??? ?? ?????? ???? ??? ??? ?????? ?? ?",100
??????,"????? ?????? ????. ????? ?????? ???? ?? ?????? ?????????? ???? ???? ??????? ??? «??????? «?»?????????»? ?? «?????????? «?»???????»? ???? ?? ??? ???? ?????? ?? ??????? ??????? ????????? ?????? ?????? ?????? ???????.[19] ??? ?????? ???? ??? ?? ????? ?????? ?????? ?? ???????? ?????????? ???:
 ?? ????? ?????? ???? ???? ???? ????? ?????? ?? ?????? ?????? ?? ????? ??? ??????? ?????? ??? ?? ??? ?????? ???? ??? ??????? ???? ?? ???? ?? ??????.[20]
?? ????? ?????? ???? ????? ?????? ???? ?? ????? ???????? ???? ???? ?????? ??? ???? ???? ?? ?????? ?? ???? ??????? ??????? – ?????????? ??? ??? ???? ?? ???? ???????? ????????? ????? ??????? ??? ??????? ????? ??? ?? ????? ?????? ??? ?? ???????? ????? ?????? ?? ??? ??? ???? ??? ?????????? ???? ????? ?? ???? ??? ??? ?????? ?? ???? ?? ????.
 ????? ??????? ??? ??????? ?? ??????????? ???????? ?? ????? ????????.[21] ???? ??? ??????? ?? ????? «??? ??????? ?????? ??????: ??? ???????» ????:[22]
 ???? ??????? ??????? ?? «????? ????»:[23]
 ???? ????? ??????? ?? ???? «??? ?????????»:[24]
 ??? ???? ??????? ??? ????? ?????? ?? «????? ??? ????? ??????» ????:[25]
 ????? ???? ?? ???? ???????? ?????????? ??????? ?? ????? ??????:
 ????? ?????? ???????? ?????????? ??????? ?? ????? ??????:
 ??? ??? ????? ?????? ????? ??? ?????? ???????? ????:
 ?????? ??? ???? ????? ?????? ?? ?????? ????? ?????? ??? ???? ????? ?????? ???????.[30]
 ????? ???? ?? ???? ???????? ??? ????? ??????? ???????? ???? ?? ???????.[31] ??? ????? ??????? ??? ????? ?? ??? 1570.[32] ?? ????? ??????",100
?????? ?????akh ?? ????? ???????? ???? ????? ??????? ?? ???????? ?????? ?? ???????? ??????? ?? ??????? ???????," ???? ????? ??? ???? ??? ???????? ???? ???? ??????? ???????.[33][34] ???? ??? ????? ????? ?? ????? ???????? ???????? ?? ????? ????? ??????? ????? ???? ????? ?????? ?????? ?????? ?????? ???????.[30]
 ????? ??????????? ?????????? ???????? ????? ??????? ???????? ??????? ???? ??????? ??? ??????? ?????????.[27]
 ??? ????? ?? ???????? ??? ?????? ??????? ??????? ???? ??????? ?? ??????? (????? ???? ????? ???????) ?????????? ?? ??? ??????: ????? (??????)? ??????? ?? ?????? ???????? ???? ????? ?????? ?? ??????? ????? ?? ??????? ??????? ?? ??????? ???????[?].[26]
 ??? ??? ?????? ??????? ??????? ????? ?????? ??????? ?? ?????? ????????: ????? ???????? ?? ????? ????? (??? ?? ????? ?? ????)? ????? ??????? (?????)? ???????? ??????? ???? ????? ??????? (??????? ??????)? ?????? ????? ?? ?????[?]? ????????? ?????? ??? ????? (???????)? ?????? ?? ??????? ????? ?? ????????? ???? ???? ?? ???? (?????)? ??? ?? ????? ?????? (??? ??? ??????? ?????? ?????)? ???? ????? ????[?][26]
 ??? ??? ???????? ??? ???? ?? ???? ???? ?? 20 ?? ??? ??????? ??????????.[35]
 ????? ??? ??????? ???????? ??????? ?????????[36] ????? ?????? ??? ??? ?????? ?? ?????? ???? ????? ??????? ???? ???? ???? ????? ?????? ??????? ??????? ???????? ??????? ?????? ??? ????? ???? ?? ???????? ???????.[37]
 ??? ????? ???????? ???????? ???????? ?????? ??????? ?? ????? ????? ?????? ???. ?????? ??????? ??????? ??????? ???????? ?????? ?? ????? ????? ?????? ???. ?? ??? ??? ???? ??????? ?? ??? ?? ???? ??????? «????? ??????» ??? 1121.[38]
 ??? ??? ???",100
??? ??????,"? ??????? ???????? ???? ??? ?? ??? ??????? ??????? ?? ??????.[39] ???? ?????? ??????? ????? ???????? ??? ??? ????? ??????? ???? ???? ??????? ???? ??????? ??? ?????.[40][41]
 ?? ????? ??? ??????? ??? ??? ???? ??? ????. ????? ??????? ???????? ?? ??? ?? ????? ???? ??? ???? ?????? ??? ??? ??????? ???? ??????? ???????? ????? ????? ??? ???????? ???????? ???????? ??? ??????? ?????.[12] ??? ???? ?? ???? ??? ?????? ???????? ??? ??? ??????? ???? ??????? ???? ?????????????? ????? ?? ??? ???????? ?? ??????? ?????????? ????? ?? ??? ???.[27] ??? ??? ???? ????? ?????? ??? ???? ?? ???? ???????? ????? ??????? ?? ????? ??????.[8][42]
??? ????? ???? ?????? ??? ???????? ???? ???????.[8]
 ????? ???? ?? ???? ?????? ?? ??????? ??????????: ???????? ??????? ????????.[12][35][43] ???? ??? ???? ????? ??? ?? ??? ??????? («????? ???? ?????»? ??? ????? ????? ??????????) ??????? (???? ????? ?????? ??????? ?????? ????????) ?????? ????????.[44] ??? ??? ?? ??? ?????? ???????? ??????? ?? ??????.[45]
 ??? ?????? ?? ????? ?????? ??? ??????? (????? ????? ?? ????? ???????) ??????? ?????? ?????????? ??????? ??????????? ???????: ????? ?????? ??????? (Pbo)? ????? ?????? ?????? (Pb3O4)? ????? ??????? ???????? ???? ?????? ??????? (???? ???? ?????? ??????)? ????? ?????? ??????? (CuO)? ??????? ??????? ????? ????? (ZnO)? ????? ???????? ????? ??????? ??? ??????? ???? ??????[?]? ????? (??? ???????)? ??????? (??????? ????????? HgS)? ????? ??????? ??????? (As2O3)? ??????? ????????? (?????)? ????????? ???????? (?????? ???????)",100
????? ????????,"? ????????? (??? ????? ?????? ?? ????? ???????).[46]
 ???? ??????????? ???????? ?? ??? ????????? (??????) ????? ???? ??? ????? ????? ??????? ???? ??? ??????? ????????? ??? ???? ????? ??????? ???? ?? ????? ??????? ???????. ???? ?????? ??? ???? (721-815) ??????? ??????? ???????? ?????? ??????. ??? ??? ?????? (801-873) ???? ??? ????? ??????.[47] ??? ???? ??? ??? ??? ??? ?????? ???????? ?? ????????? ???? ???? ????????? ?? ??????? ?????????.
 ??? ??? ??????????? ???????? ??? ?? ???? ?????? ?????? ?????? ??? ????? ?????? ???? ????? ??????? ????????? ?? ???????? ???????? ???????????.[21][27]
 ??? ??? ?????? ?????? ???? ???? ?????:[47]
 ????? ??????????? ???????? ???????? ??????? ??? ????? 2000 ???? ?????? ????????? ?? ???? ??????? ????????.[48]
 ??? ?????? ?? ????? ?????? ?????? ?????????? ???????? ???? ??????? ????? ???? ???? ??????? ??????? ???????? ???? (????? ????? ????? ???? ????? ???????? ????????) ??? ???:
 ??? ?????? ?? ?????? ???????? ??????? ???? ???????? ??????????? ???????? ?? ???? ??????? ???? ???????? ???? ??????? ???????. ??? ?? ?????? ????? ????? ?? ???? ????? ??????? ??? ???????? ?? ??? ????? ???: ?????? ???????? ??????? ??????? (????? ???????)? ?????? ??? ??????? ???????? ???? ?? ?????? ???????? ????????? ??????? ???????? ????? ?????? ?????? ??? ???????.[46]
 ???? ??????????? ???????? ?????? ?? ???????? ?????????? ???? ??????? ?????:
 ???? ??? ???? ??? ?? ??? ???? ??????? ????????? ??????: ?????? ??????? ????????? ???????? ???????? ???????? ???????.[12]
 ???? ?????",100
"?????|thumbtime=1|upright=1.1|transgender sex in a 15th-century miniature from a Dutch edition of ""Ovide moralisé"" (Moralized Ovid).|center|300px","?? ?? ???????? ?????? ???????????? ????????? ???? ???? ?????? ?????? ??????. ??? ???? ??????? ???????? ????????? ?? ????????? ????????? ?? ??????? ??????? ???????? ??? ?????? ??????? ????????? ?? ????? ?????? ???. ?? ??????? ???? ???? ????? ????????: ???????? ???????? ???????? ???????? ??????????? ????????.
 ??? ??????? ????? ?????? ?????? ?? ???? ???????? ?? ????? ?????? ???? ????? ?????? ???. ????? ?? ???? ???? ????? ?? ????? ?????? ???????.[50] ??? ??? ????? ????? ???????? ????? ???????[?]? ??? ???? ???????? ??????? ???? ????? ???????? ????????. ??? ??? ???? ??? ?? ?????? ???? ???? ?????? ?????? ????? ?????? ??? ????? ??????. ????????? ??????? ?????? ???? ????? ????? ?????? ????????? ????? ??? ????? ?????? ?? ??????.[51] ???? ??? ???? ????? ?????? ?????? ?????? ?? ????? ????? ?? ????? ?? ????? ??????.[52] ??? ????? ????? ???? ?????? ????? ??????? ?? ?????? ????????? ??? ???? ??????? (?? ??? 975 ??? ??? 1075?)? ????? (?? ??? 1100 ??? ????? ??? 1600?) ?????? (?? ??? 1470 ??? ??? 1550?).[53]
 ?? ??????? ????? ???? ?? ???? ?????? ??????? ???????? ?? ????? ?????? ?? ??? ??????? ????????.[54][55] ???????? ????? ????? ?? «????????» ??? ???? ????? ????? ???? ???? ??????? ?????????? ???????? ??????. ???? ??? ????? ?? ??????? ?????????? ?? ????? ?????? ????????? ????? ??? ??????? ?? ??? ???? ???????? ???? ????? ???? ??????? ????????? ?? ??????? ?? ????? ?????? ???.
 ??? ?????? ?????? ???????? ?? ??????? ???? ????? ?????? ??? ??? ?????????. ??? ??? ?????? ?? ?????? ???????? ?? ????? ",100
??????,"?????? ?? ??????? ????? ???? ???????? ??????? ?? ????? ??? ??????? ???? ??????? ???????? ??? ???? ????????? ??????? ????? ?????? ?????. ??? ????? ???????? ????????? ????????? ?????? ?? ??? ???????? ??????? ???????? ?????????.[56]
 ??? ???? ?? ???? ?? ????? «??????? ????????» ??????? ?????? ?????? ?????? ?? ?????.[57]
 ?? ????? ??????? ???? ????? ????? ??? ?? ??? ???????? ????? ???????? ?? ????? ?? ???? ??????? ????????. ??? ????? ??????? ??? ??????? ???? ????? ?? ??????? ??????? ?????? ???? ??????? ?? ???????? ?????? ????? ?????? (???????). ????? ??? ?????? ?? ??? ???????? ?? ????? ??????? ??? ??? ????? ???? ?? ????? ?????? ???? ???? ??? ?? ????? ???? ????? ??? ??? ??? ?????? ?? ?????? ?????.[21]
 ??? ??????????? ???????? ??? ?? ???? ??????? ?? ????? ?????? ???? ???????? ????? ???????.[58]
 ??? ???? ????????? ?????? ?????? ???? ??? ?? ??? ??????? ?? ?????? ?? ????? ?????? ?? ?????. ??? ???? ???????? ??? ??????? ?????? ?????????? ?????? ?????? ??????? ????? ???? ????? ????? ?????? ?????? ?????? ????????? (??? ???????). ??? ??? ?????? ?????? ????????? ???? ???? ?????? ??????? ???????? ?? ????? ?????? «???? ???????».[59] ??? ??? ???? ???? ??? ?? ???? ?????? ??????? ?? ???? ????? ?????? ??? ???????? ??????? ??????? ?????????? ?? ?? ??????? ?????????? ????????.[30]
 ???? ??? ????? ???? ??? ?? ??? ??????????? ???????? ?? ???? ????? ??????? ???? ???????? ?? ????????? ????????.[27]
 ??? ?????? ???? ???? ?????? ?? ???? ?? ???????? ????? ???? ?? ???????? ?? ????? ?? ???? ?????? ??? ???",100
