Question,Responses,Generated Questions,Relevance Score
?? ?? ????? ???? ????? ???? ??????????? ????? ???? ????? ?????? ?????????,???? ?? ????,?? ?? ??????? ???? ??? ???? ?????? ?? ??????? ?????????,69.07452894
"?? ?? ?????? ???? ???? ?? ???????? ??????? ??? ???????? ??????? ???? ???? ""???????""?",?? ?????????? ?????????,?? ?? ??? ?????? ?????????? ???????? ??????? ?????? ?? ?????? ???????,67.19278133
?? ?? ?????? ???? ???? ???? ?? ???? ??????? ?? ?????? ?????? ???????,???? ???????,?? ?? ????? ?????? ?????? ?????? ??????? ???????????,60.32761071
?? ?? ????????? ???? ??? ??????? ???????? ???? ????? ????? ??????? ??? ????? ?? ??????,??????,?? ?? ????? ??? ????? ??? ?????,50.63756465
"?? ?? ?????? ???? ????? ???? ??? ""???????"" ?""?????????"" ?????? ?? ?????? ???????????",??????,?? ?? ??? ?????? ?????????? ??????? ?????? ?? ?????? ???????,66.14757372
?? ?? ??????? ???? ????? ?????? ???????? ?? ??? ???????,?????? ?????akh ?? ????? ???????? ???? ????? ??????? ?? ???????? ?????? ?? ???????? ??????? ?? ??????? ???????,?? ?? ??????? ???? ???????? ?????? ?? ?????,71.62826139
?? ?? ?????? ???? ???? ???? ??? ?? ????? ???? ??? ???? ?????? ??? ??? ??????? ???? ????????,??? ??????,?? ?? ?????? ?????? ??????? ???? ?????? ?????? ?? ???? ???????? ?????? ???? ????? ??????????,65.42212712
?? ?? ??????? ????? ?????? ?? ??? ????????? ????? ???? ???? ??? ??????? ?????????,????? ????????,?? ?? ????? ????? ??????? ?? ?????????? ??????????? ?? ????? ???????? ??? ?????????? ????? ?????? ???? ?????? ???????,63.65340809
??? ??? ??????? ????? ?????? ?? ???? ?????????,"?????|thumbtime=1|upright=1.1|transgender sex in a 15th-century miniature from a Dutch edition of ""Ovide moralisé"" (Moralized Ovid).|center|300px","What is depicted in the 300px centered image from a 15th-century Dutch edition of ""Ovide moralisé"" with a thumbtime of 1 and an upright of 1.1?",53.35812735
?? ?? ?????? ???? ??? ????? ????? ????? ????????? ?? ????? ??????,??????,?? ?? ??? ?????? ?????????? ????????? ??????? ??????? ?? ?????? ???????,60.26764056
?? ?? ?????? ???? ????? ???? ?? ????? ???? ?? ?????? ???? ????,????,?? ?? ??????? ?????? ???? ??? ?????? ?? ???? ???? ?????? ?? ??????? ?? ?????? ???????,69.29815889
?? ?? ?????? ???? ??? ??? ????? ?????? ?????? ??????? ???? ????? ?????? ?? ????????,??? ???,?? ?? ??? ?????? ???????? ?????? ???? ??? ?????? ?? ??????? ?? ????? ?????? ????,59.92451218
?? ?? ?????? ???? ????? ???? ???????? ????????? ?????? ???? ????????,??? ?????,?? ?? ??? ?????? ???????? ???? ????? ????????? ?? ??????? ???????,60.60581514
??? ??? ????? ??????? ?? ??????? ????????? ??? ?? ??? ?????? ???? ??????? ?? ???????,????? ??????,?? ?? ??? ??? ????? ?????????,62.3450058
?? ?? ?????? ??????? ?????? ?????? ?? ??????? ??????????,??????,?? ?? ????? ???? ????? ??? ????? ???? ???? ?? ?????,52.04861379
?? ?? ????? ???? ??? ????? ??????? ??????? ?????? ?????????? ???? ????,??????,?? ?? ???????,51.36798988
?? ?? ??????? ???? ???? ?????? ????? ???????,% ?? ????? ?????????? 10? ?? ???????? ? 15? ?? ????????,?? ?? ????? ??????? ???????? ?? ??? ?????? ??????????,60.21394668
??? ??????? ??????? ?? ??????? ?? ??? ???????? ?? ????????,1118,What is 559 multiplied by 2?,50.30753716
?? ?? ????? ??????? ?? ????? ????? ??????? ?????????,????? ????????,?? ?? ????? ??????? ????????,64.92773646
?? ?? ?????? ??????? ??????? ???? ???? ???? ??????? ??? ??? ??????,30%,What is the percentage of a whole if 3 out of 10 parts are taken?,62.64908272
?? ?? ?????? ???????? ??????? ???????? ?? ????? ?????? ????? ??? 2020 ??? ????? ????? ???? ????????,35%,What is the percentage equivalent of the fraction 7/20?,62.33205124
?? ????? ???? ????? ??????? ??????? ?? ????? ????? ???? ???? ?? ???? ??? ??????? ??? ????????,????? ???,?? ?? ??????? ????? ?????? ???? ????? ?? ?????,60.73427099
?? ?? ??????? ???? ?????? ??????? ??????? ??? ??????,????? ?????? ??? ?????,?? ?? ??????? ??????? ?????? ????????? ??????? ??? ?????? ????????,71.30721757
?? ?? ?????? ???????? ?????? ????? ?????? ???? ???40 ??? ??????? ??? ?? ??? ????? ??????? ????? ????????,40%,What percentage of 100 is 40?,62.89803795
?? ?? ??????? ???????? ?????? ?????? ??????????,????? ???????? ????? ???????,?? ?? ??????? ???????? ?????? ?????? ?? ?????? ???????,60.8028005
?? ???? ?????? ???????? ??? ????? ?????? ?? ????? ????????,??????? ?????? ??????? ?????? ?????? ???????,?? ???? ????? ?? ?????? ?????? ????? ????????,65.47891763
?? ?? ????????? ???????? ?????? ????????,????? ???? ????????? ???????? ?????? ?????? ?? ????? ????,?? ?? ?????? ???? ?? ?????? ???? ?????? ??? ????? ???????,65.35745287
?? ?? ????????? ???? ????? ????? ???????? ??????,????? ????? ???? ???????,?? ?? ??????? ???????? ?????? ???? ????????,54.10552087
?? ?? ??????? ???? ???? ???? ????? ???????,????? ????? ?????? ??????? ?????????,?? ?? ????? ???? ????? ?? ????? ?????? ?????? ?????????,73.71022006
?? ?? ??????? ???? ??? ??? ????? ???? ????? ?????? ?? ????,???,?? ?? ?????? ???? ????? ?????? ????????? ???????? ?? ???????,65.31226291
?? ?? ?????? ??????? ??????? ??????? ???? ???????? ????? ????????,?????? ???? ?? ??? ???? ????? ?? ?????,?? ?? ??? ??????? ???? ????? ?? ????? ???? ?? ??????,64.97583541
?? ?? ?????? ???? ??? ???? ?? ?????? ??? ????? ????? ???? ??? ????? ?????? ????? ??????? ????? ?????? ????? ???? ????? ????????? ?????,??? ????,?? ?? ??? ?????? ???????? ???? ????? ???? ???? ?? ??? 1998?,50.21286862
?? ?? ??????? ???? ??? ?????? ??? ????? ??? ????? ????????? ??????? ??? ?? ?????? ????? ??? ??? ??? 1938?,?????,"?? ?? ?????? ??????? ??? ""fish""?",58.97207779
?? ?? ????? ??????? ???? ????? ????? ??????? ?????????,???????,?? ?? ????? ???? ??????? ????? ???? ????,61.49977521
