Question,Responses,Generated Questions,Relevance Score
?? ?? ????? ???? ????? ???? ??????????? ????? ???? ????? ?????? ?????????,???? ?? ????,?? ?? ????????? ??????? ????????? ?????? ??????? ?? ?????? ???????,71.49761143
"?? ?? ?????? ???? ???? ?? ???????? ??????? ??? ???????? ??????? ???? ???? ""???????""?","????? ?? ??????? ??? ??? ?????? ?? ?? ?????? ?? ???? ?????? ?????? ""???????"". ??????? ?????? ???? ???? ??? ??????? ?? ???? ?????? ????.","?? ?? ???? ?????? ""???????""? ?? ?? ???????",75.04997993
?? ?? ?????? ???? ???? ???? ?? ???? ??????? ?? ?????? ?????? ???????,??? ???? ?? ???? ???? ??????? ???? ??????? ??????????? ???????? ?????. ????? ?????? ?? ???? ????? ??? ?? ??? ??????? ????????? ?????? ???????? ??? ?????? ????????? ??? ??????? ???????.,?? ?? ??????? ??????? ????? ?? ???? ?? ??? ?????????,66.61702044
?? ?? ????????? ???? ??? ??????? ???????? ???? ????? ????? ??????? ??? ????? ?? ??????,??????,?? ?? ??????? ???????? ???? ?? ?????,51.59062721
"?? ?? ?????? ???? ????? ???? ??? ""???????"" ?""?????????"" ?????? ?? ?????? ???????????","????? ?????? ??? ?????? ???????? ??? ""?????"" ? ""?????"" ? ""?????"" ? ""??????"".","?? ?? ?????? ???? ??????? ?????? ???????? ??? ""?????"" ? ""?????"" ? ""?????"" ? ""??????""?",67.23611346
?? ?? ??????? ???? ????? ?????? ???????? ?? ??? ???????,????? ? ??????? ?? ???? ? ??????? ? ???? ?? ? ??? ?? ???? ? ????? ?? ???? ? ?????,?? ?? ??????? ????????? ?? ??? ?????? ???????? ?? ????? ???????,68.80181409
?? ?? ?????? ???? ???? ???? ??? ?? ????? ???? ??? ???? ?????? ??? ??? ??????? ???? ????????,??????? ????????,"?? ?? ????? ???? ????? ??? ""??????? ????????""?",52.72447429
?? ?? ??????? ????? ?????? ?? ??? ????????? ????? ???? ???? ??? ??????? ?????????,???? ?? ???? ??????? ???????,?? ?? ??? ?? ???? ??????? ????????? ????? ?? ?????? ????????? ????????,67.10608729
??? ??? ??????? ????? ?????? ?? ???? ?????????,?? ????? ??????,?? ?? ??? ?? ????? ????? ?????????,74.4879733
?? ?? ?????? ???? ??? ????? ????? ????? ????????? ?? ????? ??????,??????,?? ?? ?????? ????????? ?????? ?????? ?? ???? ??????????,63.10295521
?? ?? ?????? ???? ????? ???? ?? ????? ???? ?? ?????? ???? ????,?? ???? ??? ?????? ?? ???? ??????.,?? ?? ??? ?????? ?? ???? ???????,70.37416947
?? ?? ?????? ???? ??? ??? ????? ?????? ?????? ??????? ???? ????? ?????? ?? ????????,???? ?? ????,?? ?? ?????? ?????????? ?????? ??????? ???? ????? ???? ???????? ????????,65.51310246
?? ?? ?????? ???? ????? ???? ???????? ????????? ?????? ???? ????????,???? ?? ?????,?? ?? ?????? ???????? ???? ????? ??? ????? ?? ????????,61.64906385
??? ??? ????? ??????? ?? ??????? ????????? ??? ?? ??? ?????? ???? ??????? ?? ???????,??? ??????? ?? ????? ?????? ??????? ??? ??????? ???????? ????????? ?????? ???????.,??? ??? ??????? ??? ?????? ???? ??????? ?? ????? ??? ???????,74.10817169
?? ?? ?????? ??????? ?????? ?????? ?? ??????? ??????????,??????,?? ?? ??????? ???? ????? ?? ?????,52.30711222
?? ?? ????? ???? ??? ????? ??????? ??????? ?????? ?????????? ???? ????,??? ????? ??????,"?? ?? ??? ?????? ?? ????? ""????? ??????""?",57.07632065
?? ?? ??????? ???? ???? ?????? ????? ???????,??????? ??????? ????????.,?? ?? ???????? ???????? ????????,58.34956666
??? ??????? ??????? ?? ??????? ?? ??? ???????? ?? ????????,??? 1118 ?,??? ????? ??????? ???????????,63.02711459
?? ?? ????? ??????? ?? ????? ????? ??????? ?????????,?????? ?? ???? ????? ?? ????? ??????? ???????? ???????? ?? ????? ???????? ?? ????? ????? ??????.,?? ?? ????? ??????? ?????? ?? ????? ????? ???????? ?????????,93.60606648
?? ?? ?????? ??????? ??????? ???? ???? ???? ??????? ??? ??? ??????,?? ?????? ???? ???? ??????? ????? 30? ?? ??? ?????.,?? ?? ?????? ??????? ???? ???? ?????? ??????? ?? ??? ????? ?? ??????,89.80497239
