Question,Noon_English_Responses,Generated Questions,Relevance Score
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,Saint BernadetteSoubirous,"Who is the French girl who reported eighteen visions of the Blessed Virgin Mary, later recognized as the Marian apparition, Our Lady of Lourdes?",85.80674842
What is in front of the Notre Dame Main Building?,Copper statue of Christ,"What type of statue is the Cristo Rei statue in Almada, Portugal made of?",59.2926103
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,The Main Building,What is the central structure or focal point of a university campus often called?,69.4188286
What is the Grotto at Notre Dame?,The Grotto is a place of meditation and prayer at Notre Dame.,What is the purpose of The Grotto at Notre Dame?,95.92002455
What sits on top of the Main Building at Notre Dame?,A Golden Statue of Mary.,What is the iconic centerpiece of the Notre-Dame Basilica in Quebec City?,79.37942934
When did the Scholastic Magazine of Notre dame begin publishing?,September 1876,When was the first phone call made over outdoor wires?,57.40508002
How often is Notre Dame's the Juggler published?,It is published twice a year.,How often is the biannual magazine published?,76.33609979
What is the daily student paper at Notre Dame called?,The Observer,"Who is the mysterious character from the television series ""Fringe"" who is known for his bald head, suit, and fedora?",56.99628333
How many student news papers are found at Notre Dame?,Three,How many sides does a triangle have?,58.19143832
In what year did the student paper Common Sense begin publication at Notre Dame?,1987,"In what year was the movie ""Dirty Dancing"" released?",60.60016183
Where is the headquarters of the Congregation of the Holy Cross?,Rome,What is the capital city of Italy?,56.65254921
What is the primary seminary of the Congregation of the Holy Cross?,Moreau Seminary,What is the name of the seminary associated with the University of Notre Dame where students prepare for the Roman Catholic priesthood?,75.74577328
What is the oldest structure at Notre Dame?,Old College,What is the oldest building at the University of Delaware?,78.89321359
What individuals live at Fatima House at Notre Dame?,Retired Priests and Brothers,Who are the residents of a religious retirement home?,72.66258124
Which prize did Frederick Buechner create?,Buechner Prize,Who won the 2014 Frederick Buechner Prize for excellence in writing and preaching?,85.99202312
How many BS level degrees are offered in the College of Engineering at Notre Dame?,Eight,How many legs does a spider have?,57.56923563
In what year was the College of Engineering at Notre Dame formed?,1920,"What year marked the start of the ""Roaring Twenties"" in United States history?",58.66329568
Before the creation of the College of Engineering similar studies were carried out at which Notre Dame college?,College of Science,"What is the name of the faculty division that oversees departments like physics, chemistry, and biology in a university?",63.24888011
How many departments are within the Stinson-Remick Hall of Engineering?,"Three departments are located in the Stinson Remick Hall. These include Aerospace and Mechanical Engineering, Chemical and Biomolecular Engineering, and Electrical and Computer Engineering.",Which departments are located in the Stinson Remick Hall at Notre Dame University?,86.23648758
The College of Science began to offer civil engineering courses beginning at what time at Notre Dame?,Beginning in the 1870s,When did the industrial revolution start in the United States?,61.03290268
What entity provides help with the management of time for new students at Notre Dame?,Learning Resource Center,"What facility in a school or university is typically filled with books, research materials, and tutoring services to support student learning?",68.58545331
How many colleges for undergraduates are at Notre Dame?,Five,How many vowels are there in the English alphabet?,59.99465211
What was created at Notre Dame in 1962 to assist first year students?,First Year of Studies Program,What program do Notre Dame University students enroll in during their freshman year?,85.94769337
